main_writer,avg_roi_winsor,median_roi,avg_metacritic,avg_imdb,movie_count
Alex Kendrick,31.33,65.91,36.0,6.7,3
Christopher Landon,20.01,21.92,50.75,5.6,4
Leigh Whannell,19.63,26.31,46.33,6.7,6
Luc Jacquet,14.92,14.92,79.0,7.7,3
James DeMonaco,13.25,11.09,51.0,6.47,3
Diablo Cody,10.58,0.97,66.33,6.3,3
Sofia Coppola,9.48,0.51,73.67,6.87,3
Scott Derrickson,9.4,4.29,41.67,6.17,3
Patrick Melton,9.23,9.54,28.67,5.9,3
Jared Hess,8.34,1.51,49.0,6.1,4
Sam Raimi,8.25,1.34,69.75,7.4,4
Quentin Tarantino,8.06,4.55,74.17,8.15,6
Jon Favreau,7.69,1.45,52.0,6.43,3
Michael Moore,7.09,4.81,68.5,7.75,4
Kevin Smith,6.87,0.65,56.4,6.87,10
James Cameron,6.81,8.91,77.33,8.03,3
Tom McCarthy,6.77,3.42,72.0,7.37,3
M. Night Shyamalan,6.66,1.72,42.33,5.9,3
John Erick Dowdle,6.44,7.02,43.33,6.3,3
Kar Wai Wong,5.79,1.18,67.67,6.9,3
