cast_list,avg_roi,avg_profit,success_rate,movie_count
Katie Featherston,3253.82,176593660.5,1.0,4
Richard Dreyfuss,59.84,54784364.33,1.0,3
Donald Pleasence,59.56,24806911.25,1.0,4
Carl Weathers,40.86,69909223.33,1.0,3
Talia Shire,40.42,80333736.33,1.0,3
Burt Young,40.37,82052093.0,0.67,3
Brian O'Halloran,40.21,12266889.0,1.0,3
Jeff Anderson,40.21,12266889.0,1.0,3
Kevin Smith,30.61,24602415.5,1.0,4
Jon Heder,28.3,10083152.5,0.5,4
Jamie Lee,25.64,17815920.2,0.6,10
Gene Wilder,25.04,67124444.33,1.0,3
Jason Mewes,24.59,12150711.4,1.0,5
Monica Potter,21.28,30023030.75,0.5,4
Madeline Kahn,21.2,62177319.5,1.0,4
Harvey Korman,18.33,55078648.33,1.0,3
Robert Shaw,18.3,64423773.0,1.0,4
John Belushi,18.13,74428544.0,0.67,3
Mel Gibson,18.12,54724624.6,0.8,15
Lin Shaye,17.94,45632529.0,0.5,4
