director,avg_roi,avg_profit,success_rate,movie_count
John Waters,165.87,-3063770.67,0.33,3
David Lynch,140.46,2808778.6,0.6,5
Tobe Hooper,74.32,22696907.0,0.6,5
Alex Kendrick,66.74,25518956.33,1.0,3
George Miller,52.43,29132770.8,0.8,5
George A. Romero,39.19,13650030.71,0.71,7
Jared Hess,38.27,27972030.0,0.67,3
James Wan,37.03,47548819.5,0.5,4
William Brent Bell,36.06,57683984.0,1.0,3
Terence Young,30.99,57611105.75,0.75,4
King Vidor,30.88,14451666.67,1.0,3
John Carpenter,25.98,6660797.9,0.5,10
Henry Joost,23.63,134076373.33,1.0,3
Darren Lynn Bousman,21.85,144051513.67,1.0,3
Guy Hamilton,19.91,95756089.0,1.0,5
Sergio Leone,18.64,-2644623.0,0.75,4
Mel Brooks,17.09,52825752.2,1.0,5
James DeMonaco,16.91,98233118.0,1.0,3
Darren Aronofsky,14.8,6265036.25,0.75,4
Davis Guggenheim,14.65,10102286.33,0.33,3
