genres_list,avg_roi,avg_profit,success_rate,movie_count
Mystery,50.34,26253185.92,0.61,266
Horror,43.62,30205837.81,0.67,389
Documentary,13.22,12991711.43,0.49,53
Fantasy,4.12,24813151.3,0.61,260
Science Fiction,4.07,20728067.55,0.6,356
Music,3.96,25174277.13,0.6,124
Thriller,3.49,25122618.48,0.61,936
Comedy,3.17,25946511.84,0.61,1149
Drama,3.06,19748569.87,0.56,1600
Western,3.04,1148569.12,0.56,59
Crime,2.47,23893472.39,0.63,545
Romance,2.4,25032884.99,0.61,614
War,2.26,24379980.54,0.61,116
History,2.15,18838336.56,0.59,158
Animation,2.14,22787304.71,0.53,118
Adventure,2.05,24405599.16,0.6,483
Action,1.74,24493842.15,0.6,792
Family,1.73,27101317.86,0.61,286
Foreign,-0.81,-2914177.57,0.0,7
Movie,-1.0,-3066666.67,0.0,3
TV,-1.0,-3066666.67,0.0,3
